gene1,gene2,shared,jaccard,fisher_or,fisher_p,spearman_rho,set1_size,set2_size,involves_new_gene
EIF2S1,PELO,559,0.524883,132.385774,0.0,0.987295,812,812,False
LTN1,NEMF,512,0.460432,85.970489,0.0,0.986316,812,812,False
ASCC1,ASCC3,486,0.427065,68.988257,0.0,0.940385,812,812,True
EIF2S1,TMEM97,437,0.368155,46.728313,0.0,0.957606,812,812,False
SIGMAR1,TCF25,415,0.343259,39.535972,0.0,0.953358,812,812,True
PELO,TMEM97,410,0.337727,38.081359,0.0,0.962429,812,812,False
HSPA5,TRIP4,375,0.30024,29.405951,3.269746387542435e-295,0.901336,812,812,True
ASCC1,TRIP4,371,0.296089,28.559299,2.300137160465902e-289,0.906463,812,812,True
ASCC3,TRIP4,327,0.25212,20.750894,2.250534454551154e-228,0.866398,812,812,True
EIF2S1,LTN1,314,0.239695,18.882744,1.611547829639616e-211,0.937462,812,812,False
EIF2S1,NEMF,286,0.213752,15.387659,4.986506754513043e-177,0.924538,812,812,False
TMEM97,TCF25,260,0.190616,12.679847,3.03567538732254e-147,0.942778,812,812,True
PELO,LTN1,230,0.164993,10.06985,1.2539471844541772e-115,0.912702,812,812,False
HSPA5,ASCC3,226,0.16166,9.75747,1.217428715225281e-111,0.755797,812,812,True
PELO,NEMF,219,0.155872,9.228978,8.529742364934187e-105,0.900216,812,812,False
HSPA5,ASCC1,202,0.142053,8.035485,6.9777247681928e-89,0.777542,812,812,True
PELO,HSPA5,198,0.13885,7.771976,2.7446076050826613e-85,0.795414,812,812,False
EIF2S1,HSPA5,174,0.12,6.315474,5.86488037398671e-65,0.788962,812,812,False
ASCC2,ASCC3,170,0.116919,6.091993,8.790410062478857e-62,0.693037,812,812,True
TMEM97,SIGMAR1,163,0.111567,5.713113,2.239894881913458e-56,0.911817,812,812,False
ASCC1,ASCC2,158,0.107776,5.451664,1.23524073736918e-52,0.633451,812,812,True
PELO,SIGMAR1,151,0.102512,5.097949,1.4386548803697363e-47,0.889009,812,812,False
ASCC2,TRIP4,148,0.100271,4.95061,1.847615173205134e-45,0.55473,812,812,True
PELO,TCF25,143,0.096556,4.710529,4.965001861687339e-42,0.881257,812,812,True
LTN1,ASCC3,137,0.092132,4.431208,4.654183386850434e-38,0.618124,812,812,True
NEMF,ASCC1,130,0.087015,4.116967,1.2556390682017726e-33,0.684811,812,812,True
NEMF,ASCC3,130,0.087015,4.116967,1.2556390682017726e-33,0.616437,812,812,True
LTN1,TMEM97,128,0.085561,4.029411,2.107557789954033e-32,0.839758,812,812,False
LTN1,ASCC1,124,0.082667,3.857186,5.219454245256016e-30,0.679952,812,812,True
EIF2S1,TCF25,105,0.069124,3.088983,1.0499319189638858e-19,0.858582,812,812,True
NEMF,TMEM97,98,0.06422,2.825452,2.2143144420428724e-16,0.825497,812,812,False
PELO,TRIP4,97,0.063523,2.788614,6.282267044149799e-16,0.685875,812,812,True
LTN1,TRIP4,91,0.059361,2.571711,2.4888215682497007e-13,0.732485,812,812,True
LTN1,HSPA5,85,0.055231,2.361696,6.058100972967824e-11,0.759872,812,812,False
NEMF,TRIP4,82,0.053178,2.259193,7.815816851568983e-10,0.721024,812,812,True
HSPA5,ASCC2,81,0.052495,2.225389,1.7808137610104842e-09,0.356003,812,812,True
EIF2S1,TRIP4,81,0.052495,2.225389,1.7808137610104842e-09,0.679037,812,812,True
TMEM97,HSPA5,81,0.052495,2.225389,1.7808137610104842e-09,0.678213,812,812,False
NEMF,HSPA5,80,0.051813,2.191764,3.998422181973579e-09,0.745657,812,812,False
EIF2S1,ASCC1,64,0.041026,1.677371,0.00020289512587113185,0.580042,812,812,True
EIF2S1,SIGMAR1,60,0.038363,1.555427,0.001573107738781082,0.85254,812,812,False
EIF2S1,ASCC3,43,0.027198,1.064746,0.37175078175304416,0.478312,812,812,True
PELO,ASCC1,42,0.026549,1.037214,0.43493678663191854,0.553608,812,812,True
HSPA5,SIGMAR1,29,0.018182,0.691973,0.9814236361750315,0.628736,812,812,False
PELO,ASCC3,26,0.01627,0.615537,0.9958937040725182,0.451293,812,812,True
TMEM97,TRIP4,17,0.010579,0.393163,0.9999957779705151,0.534162,812,812,True
SIGMAR1,TRIP4,12,0.007444,0.273975,0.9999999881634469,0.530313,812,812,True
NEMF,SIGMAR1,10,0.006196,0.227144,0.9999999993672767,0.70988,812,812,False
HSPA5,TCF25,8,0.00495,0.180788,0.9999999999780116,0.53269,812,812,True
NEMF,TCF25,7,0.004329,0.157786,0.9999999999966274,0.698619,812,812,True
TMEM97,ASCC1,7,0.004329,0.157786,0.9999999999966274,0.410564,812,812,True
SIGMAR1,ASCC1,4,0.002469,0.089477,0.9999999999999958,0.390897,812,812,True
LTN1,TCF25,2,0.001233,0.044512,1.0,0.701072,812,812,True
LTN1,SIGMAR1,1,0.000616,0.022199,1.0,0.70246,812,812,False
TCF25,ASCC3,0,0.0,0.0,1.0,0.088012,812,812,True
EIF2S1,ASCC2,0,0.0,0.0,1.0,-0.123088,812,812,True
PELO,ASCC2,0,0.0,0.0,1.0,-0.112207,812,812,True
TCF25,TRIP4,0,0.0,0.0,1.0,0.399265,812,812,True
TMEM97,ASCC2,0,0.0,0.0,1.0,-0.276649,812,812,True
TCF25,ASCC2,0,0.0,0.0,1.0,-0.351514,812,812,True
TCF25,ASCC1,0,0.0,0.0,1.0,0.252407,812,812,True
TMEM97,ASCC3,0,0.0,0.0,1.0,0.274375,812,812,True
SIGMAR1,ASCC2,0,0.0,0.0,1.0,-0.165985,812,812,True
LTN1,ASCC2,0,0.0,0.0,1.0,-0.034793,812,812,True
NEMF,ASCC2,0,0.0,0.0,1.0,-0.031048,812,812,True
SIGMAR1,ASCC3,0,0.0,0.0,1.0,0.214383,812,812,True
